Season,year,grouped_wind,n
Winter,2015,180,1890
Winter,2015,225,637
Winter,2015,270,544
Winter,2015,315,2700
Winter,2016,0,837
Winter,2016,45,220
Winter,2016,90,165
Winter,2016,135,860
Winter,2016,180,1625
Winter,2016,225,811
Winter,2016,270,634
Winter,2016,315,3533
Winter,2017,0,714
Winter,2017,45,280
Winter,2017,90,154
Winter,2017,135,1129
Winter,2017,180,1715
Winter,2017,225,898
Winter,2017,270,430
Winter,2017,315,2220
Winter,2017,NA,470
NA,NA,NA,1
Autumn,2010,360,1500
Autumn,2011,360,1076
Autumn,2012,360,2410
Autumn,2013,360,1748
Autumn,2014,360,1173
Autumn,2015,360,1681
Autumn,2016,360,1522
Autumn,2017,360,2164
Spring,2010,360,599
Spring,2011,360,1348
Spring,2012,360,1837
Spring,2013,360,1184
Spring,2014,360,3291
Spring,2015,360,860
Spring,2016,360,1317
Spring,2017,360,1019
Summer,2010,360,1187
Summer,2011,360,1280
Summer,2012,360,1139
Summer,2013,360,1174
Summer,2014,360,1072
Summer,2015,360,1089
Summer,2016,360,862
Summer,2017,360,1177
Winter,2010,360,244
Winter,2011,360,1285
Winter,2012,360,1980
Winter,2013,360,1640
Winter,2014,360,6233
Winter,2015,360,1160
Winter,2016,360,837
Winter,2017,360,714
